season,team,runs_per_ball,dot_ball_rate_bat,wickets_taken,dot_ball_rate_bowl,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals,win,n_matches,close_game_win_pct_raw,chase_win_pct_raw,close_game_run_diff_raw,n_close_games,n_chases,runs_per_ball_shrunk,dot_ball_rate_bat_shrunk,wickets_taken_shrunk,dot_ball_rate_bowl_shrunk,powerplay_economy_shrunk,death_economy_shrunk,runs_allowed_per_legal_ball_shrunk,boundary_rate_per_ball_shrunk,death_run_rate_shrunk,powerplay_run_rate_shrunk,fielding_dismissals_shrunk,close_game_win_pct_shrunk,chase_win_pct_shrunk,close_game_run_diff_shrunk,runs_per_ball_z,dot_ball_rate_bat_z,wickets_taken_z,dot_ball_rate_bowl_z,powerplay_economy_z,death_economy_z,runs_allowed_per_legal_ball_z,boundary_rate_per_ball_z,death_run_rate_z,powerplay_run_rate_z,fielding_dismissals_z,close_game_win_pct_z,chase_win_pct_z,close_game_run_diff_z,batting_score,bowling_score,run_prevention_score,explosiveness_score,fielding_score,pressure_score,EDGE_z,EDGE,rank_within_season
2015/16,Quetta Gladiators,1.316420766545596,0.3702005705503568,6.0,0.3845031055900621,7.8,8.220095785440613,1.2598938923395446,0.15788366975486184,8.220095785440613,7.8,8.0,0.7,10,1.0,0.8571428571428571,2.3333333333333335,3,7,1.316420766545596,0.3702005705503568,6.0,0.3845031055900621,7.8,8.220095785440613,1.2598938923395446,0.15788366975486184,8.220095785440613,7.8,7.696780303030303,0.6666666666666667,0.7164835164835165,0.8222222222222223,0.945415513911933,0.6720556076699388,0.2832342284181716,0.07537914743065284,-1.7796924527139513,1.8389982608648734,0.17917615968018957,0.7359500147902094,-1.8389982608648734,1.7796924527139513,1.3240795605000661,1.45329589744045,1.2854702991853544,1.265124819959315,0.8087355607909359,0.1793066879244122,0.07949398927703723,0.22554806887976242,1.3240795605000661,1.3346303388617065,0.6586323677056534,94.53125,1
2015/16,Peshawar Zalmi,1.2361128986128986,0.392975813114702,6.777777777777778,0.4070926471253269,6.425925925925926,9.61019721019721,1.2054737564541484,0.13722184486073374,9.61019721019721,6.425925925925926,7.888888888888889,0.5555555555555556,9,0.0,0.5714285714285714,-3.0,3,7,1.2361128986128986,0.392975813114702,6.777777777777778,0.4070926471253269,6.425925925925926,9.61019721019721,1.2054737564541484,0.13722184486073374,9.61019721019721,6.425925925925926,7.60989898989899,0.33333333333333337,0.5626373626373626,-0.9555555555555555,-0.616043164042644,-0.5937152386689976,1.5833257686983044,1.3104196736267388,1.0547026611042654,-0.4035196361175952,0.8089068476699233,-0.5796790956066921,0.4035196361175952,-1.0547026611042654,1.093248139341741,-1.453295897440449,-0.3689533572617501,-1.6709294658973628,-0.6048792013558209,1.4468727211625216,0.48669662421886445,-0.4102873735311207,1.093248139341741,-1.1643929068665206,0.1412096671616108,64.84375,2
2015/16,Islamabad United,1.2807486133940722,0.4101854862064807,6.0,0.38485960773331906,7.106060606060606,9.420015810276679,1.2275642324611395,0.15763017978745195,9.420015810276679,7.106060606060606,6.818181818181818,0.6363636363636364,11,1.0,0.8333333333333334,2.0,1,6,1.2807486133940722,0.4101854862064807,6.0,0.38485960773331906,7.106060606060606,9.420015810276679,1.2275642324611395,0.15763017978745195,9.420015810276679,7.106060606060606,6.949910873440285,0.5714285714285714,0.6928571428571428,0.34285714285714286,0.2518272699001271,-1.5501705832412416,0.2832342284181716,0.09487022890792578,-0.34825693946245917,-0.09671814278796431,0.5532836224137679,0.7198091955727935,0.09671814278796431,0.34825693946245917,-0.6602473981798036,0.6228410989030494,1.031398094802406,0.47343875359438925,-0.6491716566705572,0.1890522286630487,0.03610284672111482,0.3882614259410723,-0.6602473981798036,0.7092259824332815,0.0022039048180260887,52.34375,3
2015/16,Lahore Qalandars,1.3208333333333333,0.35833333333333334,5.125,0.3505227913533835,6.625,10.1,1.4445863542785535,0.159375,10.1,6.625,6.75,0.25,8,0.5,0.0,1.0,2,1,1.3208333333333333,0.35833333333333334,5.125,0.3505227913533835,6.625,10.1,1.4445863542785535,0.159375,10.1,6.625,6.939177489177489,0.5,0.4734693877551021,0.30000000000000004,1.0312108522782903,1.331596460131048,-1.179368754396978,-1.7824303663065213,0.6440591641562077,-1.1936717088823738,-1.9580201047374632,0.8309095594467263,1.1936717088823738,-0.6440591641562077,-0.6887644895303328,0.0,-1.3278438030392548,0.4026588734889158,1.1814036562046693,-1.4808995603517496,-0.8358775498212099,0.4601740347242975,-0.6887644895303328,-0.30839497651677966,-0.27872648088185087,22.65625,4
2015/16,Karachi Kings,1.1848684210526317,0.37976973684210524,5.25,0.3886437546610679,6.729166666666667,9.450000000000001,1.239371551576352,0.11951754385964912,9.450000000000001,6.729166666666667,6.5,0.25,8,0.0,0.5,-2.0,1,2,1.1848684210526317,0.37976973684210524,5.25,0.3886437546610679,6.729166666666667,9.450000000000001,1.239371551576352,0.11951754385964912,9.450000000000001,6.729166666666667,6.796320346320346,0.4285714285714286,0.5392857142857144,-0.22857142857142854,-1.6124104720477022,0.1402337541092463,-0.970425471137671,0.3017613163412067,0.42918756691594473,-0.1450887730769314,0.4166534749735748,-1.7069896742030382,0.1450887730769314,-0.42918756691594473,-1.0683158121316851,-0.6228410989030494,-0.6200712336867561,-0.4702929811452572,-0.736088358969228,-0.3343320773982321,0.23358408960419605,-0.6636961560140171,-1.0683158121316851,-0.5710684379116876,-0.5233194588034423,10.15625,5
2016/17,Peshawar Zalmi,1.2667551643210873,0.4257159238345851,7.2,0.397828974467745,6.933333333333333,9.204376657824934,1.2369980541876464,0.15564550424083892,9.204376657824934,6.933333333333333,10.6,0.6,10,0.5,0.6,-1.75,4,5,1.2667551643210873,0.4257159238345851,7.2,0.397828974467745,6.933333333333333,9.204376657824934,1.2369980541876464,0.15564550424083892,9.204376657824934,6.933333333333333,10.366666666666667,0.5,0.6054545454545455,-0.68,-1.0574137179370187,-1.1579082869627577,1.403379846815679,1.6696795496673162,0.3004362840753238,0.8375674462411103,1.502321700227112,0.16370423420654057,-0.8375674462411103,-0.3004362840753238,1.3153134194262839,0.0,-0.13164540859637067,-0.6591582030543196,-1.107661002449888,1.5365296982414978,0.8801084768478488,-0.3247664987032979,1.3153134194262839,-0.2636012038835634,0.3393204815798135,83.59375,1
2016/17,Lahore Qalandars,1.3124128571187803,0.4075213741579148,6.875,0.3704277286135693,8.479166666666666,9.657042957042957,1.2709390725316676,0.17206295685682504,9.657042957042957,8.479166666666666,10.0,0.375,8,0.5,0.5,-0.25,4,4,1.3124128571187803,0.4075213741579148,6.875,0.3704277286135693,8.479166666666666,9.657042957042957,1.2709390725316676,0.17206295685682504,9.657042957042957,8.479166666666666,9.99047619047619,0.5,0.5660000000000001,-0.07999999999999997,0.8345206915114437,-0.6925085882366221,0.4034076051747852,-0.9286734473166468,-1.847650980437531,-1.1342683111379233,0.5735467632935426,1.8398382809185512,1.1342683111379233,1.847650980437531,0.02605712096882228,0.0,-1.3629839286572265,-0.09843761444478502,0.0710060516374108,-0.26263292107093084,-0.8027908427606372,1.6072525241646687,0.02605712096882228,-0.48714051436733713,0.025291903095332774,57.03125,2
2016/17,Quetta Gladiators,1.3267374950370434,0.3125343662510454,6.777777777777778,0.3816776135741653,6.87037037037037,9.188276972624799,1.344540626512141,0.14378996829230725,9.188276972624799,6.87037037037037,9.444444444444445,0.5555555555555556,9,0.5,0.6,1.5,4,5,1.3267374950370434,0.3125343662510454,6.777777777777778,0.3816776135741653,6.87037037037037,9.188276972624799,1.344540626512141,0.14378996829230725,9.188276972624799,6.87037037037037,9.657777777777778,0.5,0.6054545454545455,0.6200000000000001,1.4280959188129316,1.7371709393329817,0.1042706098121245,0.1381091529582535,0.38792950599019227,0.9076984345983479,-1.4405141574350921,-1.0466825359067906,-0.9076984345983479,-0.38792950599019227,-1.1141459176669746,0.0,-0.13164540859637067,0.5557364055996721,1.5826334290729567,0.12118988138518899,-0.04829540561551737,-0.7807701588317769,-1.1141459176669746,0.14136366566776715,-0.016337417664726,49.21875,3
2016/17,Karachi Kings,1.2887866350580186,0.3673333267664397,6.2,0.3683397586782968,7.15,9.696428571428571,1.2939379789033174,0.14806274447997864,9.696428571428571,7.15,10.4,0.5,10,0.6666666666666666,0.6,-4.333333333333333,3,5,1.2887866350580186,0.3673333267664397,6.2,0.3683397586782968,7.15,9.696428571428571,1.2939379789033174,0.14806274447997864,9.696428571428571,7.15,10.241666666666667,0.5555555555555556,0.6054545454545455,-1.4222222222222218,-0.14448765829908264,0.3354643751374826,-1.673457819771685,-1.1266674716686795,-0.0006433325140804326,-1.3058339057184243,-0.055804059311722214,-0.6104549548286661,1.3058339057184243,0.0006433325140804326,0.8869212949388366,1.58113883008419,-0.13164540859637067,-1.3527903385935212,0.09548835841919999,-1.4000626457201824,-0.45409376584807565,0.23200742780127956,0.8869212949388366,0.03223436096476603,-0.10125082824069598,39.84375,4
2016/17,Islamabad United,1.2666754894605592,0.38913563497238646,6.666666666666667,0.3828317586386657,6.314814814814814,9.237142857142857,1.3130776846052754,0.1506490693802698,9.237142857142857,6.314814814814814,9.444444444444445,0.4444444444444444,9,0.3333333333333333,0.75,5.0,3,4,1.2666754894605592,0.38913563497238646,6.666666666666667,0.3828317586386657,6.314814814814814,9.237142857142857,1.3130776846052754,0.1506490693802698,9.237142857142857,6.314814814814814,9.657777777777778,0.4444444444444445,0.666,1.6888888888888889,-1.0607152340882833,-0.22221843927108317,-0.23760024203091473,0.2475522163597617,1.1599285228860978,0.6948363360168661,-0.5795502467738465,-0.34640502438964343,-0.6948363360168661,-1.1599285228860978,-1.1141459176669746,-1.5811388300841884,1.757920154446328,1.554649750492954,-0.6414668366796832,0.00497598716442349,0.4250715373763725,-0.733723294430869,-1.1141459176669746,0.5771436916183645,-0.24702413876972773,27.34375,5
