competition,match_id,date,season,team1,team2,winner,result,margin_runs,margin_wickets,toss_winner,toss_decision,venue,city
PSL,1075994,2017-02-17,2016/17,Peshawar Zalmi,Quetta Gladiators,,no result,,,Quetta Gladiators,field,Sharjah Cricket Stadium,
PSL,1128829,2018-03-02,2017/18,Lahore Qalandars,Islamabad United,,tie,,,Lahore Qalandars,field,Sharjah Cricket Stadium,Sharjah
PSL,1128841,2018-03-11,2017/18,Karachi Kings,Lahore Qalandars,,tie,,,Lahore Qalandars,field,Dubai International Cricket Stadium,Dubai
PSL,1211660,2020-03-06,2019/20,Karachi Kings,Multan Sultans,,no result,,,Karachi Kings,field,Gaddafi Stadium,Lahore
PSL,1211672,2020-11-14,2020/21,Multan Sultans,Karachi Kings,,tie,,,Karachi Kings,field,"National Stadium, Karachi",Karachi
PSL,1293029,2022-02-21,2021/22,Peshawar Zalmi,Lahore Qalandars,,tie,,,Peshawar Zalmi,bat,"Gaddafi Stadium, Lahore",Lahore
PSL,1475258,2025-05-01,2025,Lahore Qalandars,Quetta Gladiators,,no result,,,Quetta Gladiators,field,"Gaddafi Stadium, Lahore",Lahore
